dataset,problem_type,metric,n_rows,n_features,in_corpus,best_error,iqr_error,err_l400,rank_l400,err_noleak,rank_noleak,err_l320,rank_l320,err_official,rank_official,rank_gain_l400,rel_gain_l400,spread_gain_l400,rank_gain_l320,rel_gain_l320,spread_gain_l320,rank_gap_320_vs_400,rel_gap_320_vs_400,min_rank_gain,min_spread_gain,flag_spread,min_rel_gain,flag_rank,flag_rel,flag_both_arms_win
QSAR_fish_toxicity,regression,rmse,907,7,True,0.8466199543525574,0.035531578530250685,0.877204382867197,3.0,0.9336672117690294,62.0,0.8466199543525574,1.0,0.9023436372005136,27.0,59.0,0.0604742548416707,1.5890886709061176,61.0,0.09323156722141139,2.4498561847558276,2.0,0.03486579537447419,59.0,1.5890886709061176,True,0.0604742548416707,True,False,True
diabetes,binary,roc_auc,768,9,True,0.1058902275769745,0.018423694779116484,0.1242302543507363,5.0,0.1613788487282461,43.0,0.1099062918340025,4.0,0.1058902275769745,1.0,38.0,0.2301949398589785,2.0163487738419463,39.0,0.3189547905433432,2.7938237965485873,1.0,0.11530172413793265,38.0,2.0163487738419463,True,0.2301949398589785,False,True,True
qsar-biodeg,binary,roc_auc,1054,42,True,0.0549284091318931,0.011883723446460298,0.0639448912612254,10.0,0.0687416597540304,33.0,0.0549284091318931,1.0,0.0733580986042485,51.0,23.0,0.06977964323190142,0.4036418816388537,32.0,0.20094438614900362,1.162367223065237,9.0,0.1410039481105456,23.0,0.4036418816388537,False,0.06977964323190142,False,False,True
kddcup09_appetency,binary,roc_auc,50000,213,True,0.1568965978251255,0.042569967646326784,0.2159859643060619,65.0,0.3475965108219232,85.0,0.2213933264635769,67.0,0.2289720664186149,70.0,20.0,0.3786302290683423,3.091629000268163,18.0,0.3630737951308186,2.964606067048208,-2.0,-0.02503571088467824,18.0,2.964606067048208,True,0.3630737951308186,False,True,True
Diabetes130US,binary,roc_auc,71518,48,True,0.3066422358082861,0.029229185598787955,0.3404952581530924,52.0,0.3659000529565941,77.0,0.352491342925384,66.0,0.3631380714942959,76.0,25.0,0.06943096782365164,0.8691584894707151,11.0,0.03664582697614635,0.45874388069731764,-14.0,-0.035231282918183664,11.0,0.45874388069731764,False,0.03664582697614635,False,False,True
churn,binary,roc_auc,5000,20,True,0.0493550794158405,0.012015273188122538,0.0524493953499389,3.0,0.0565149415485199,7.0,0.0518719871134326,2.0,0.0601067168863779,17.0,4.0,0.07193754584512133,0.33836485737169236,5.0,0.08215445876558464,0.3864210461462504,1.0,0.011008863546545629,4.0,0.33836485737169236,False,0.07193754584512133,False,False,True
concrete_compressive_strength,regression,rmse,1030,9,True,3.660705127965981,1.180708856122597,5.032819720098477,55.0,5.4973653017741775,71.0,5.307531969542902,68.0,5.572129581265982,78.0,16.0,0.08450331316454027,0.39344634307330495,3.0,0.0345316932403983,0.1607791211583531,-13.0,-0.05458416250186087,3.0,0.1607791211583531,False,0.0345316932403983,False,False,True
GiveMeSomeCredit,binary,roc_auc,150000,11,True,0.1272926321094923,0.008988463977113559,0.1341882894948508,54.0,0.1350550701144576,57.0,0.1342013273098499,55.0,0.1352867975558118,58.0,3.0,0.006417979116757595,0.0964325630957436,2.0,0.006321442089394847,0.0949820577555304,-1.0,-9.716060207785547e-05,2.0,0.0949820577555304,False,0.006321442089394847,False,False,True
anneal,multiclass,log_loss,898,39,True,0.01061581779225,0.0429357917991971,0.0801745653152465,72.0,0.0993112921714782,80.0,0.0878840088844299,78.0,0.0745912221910546,70.0,8.0,0.19269436977205795,0.44570569341612937,2.0,0.11506529657591312,0.2661481903138441,-6.0,-0.09615822098778912,2.0,0.2661481903138441,False,0.11506529657591312,False,False,True
hiva_agnostic,multiclass,log_loss,3845,1618,True,0.173464685678482,0.013009962146403264,0.1777065247297287,45.0,0.1817195564508438,57.0,0.1793806701898574,55.0,0.212186371566473,71.0,12.0,0.022083653512552242,0.3084583702823882,2.0,0.012870856096432822,0.17977656158154312,-10.0,-0.009420844072410312,2.0,0.17977656158154312,False,0.012870856096432822,False,False,True
