method,method_type,compute,date_introduced,reference_url,all__pos,all__elo,all__elo+,all__elo-,all__rank,all__winrate,all__improvability,all__imputed,all__time_train_s,all__time_infer_s,all__rank=1_count,classification__pos,classification__elo,classification__elo+,classification__elo-,classification__rank,classification__winrate,classification__improvability,classification__imputed,classification__time_train_s,classification__time_infer_s,classification__rank=1_count,binary__pos,binary__elo,binary__elo+,binary__elo-,binary__rank,binary__winrate,binary__improvability,binary__imputed,binary__time_train_s,binary__time_infer_s,binary__rank=1_count,multiclass__pos,multiclass__elo,multiclass__elo+,multiclass__elo-,multiclass__rank,multiclass__winrate,multiclass__improvability,multiclass__imputed,multiclass__time_train_s,multiclass__time_infer_s,multiclass__rank=1_count,regression__pos,regression__elo,regression__elo+,regression__elo-,regression__rank,regression__winrate,regression__improvability,regression__imputed,regression__time_train_s,regression__time_infer_s,regression__rank=1_count
TabFM+,baseline,gpu,2026-06-30,https://github.com/google-research/tabfm,1.0,1829.4,123.2,115.4,6.784313725490196,0.9319492502883506,0.051641290305868864,0.0,164.31137041952096,147.13470867100884,13.0,1.0,1776.8,139.7,105.7,8.026315789473685,0.9173374613003096,0.06654697799341462,0.0,173.60528967882456,172.10417704205764,11.0,3.0,1765.3,170.1,122.2,8.533333333333333,0.9113725490196078,0.06341708289554406,0.0,185.4654649734497,198.01107647418976,8.0,1.0,1872.8,555.6,152.1,6.125,0.9397058823529412,0.07828408461042925,0.0,129.12963232398033,74.9533041715622,3.0,1.0,2305.4,280.7,130.5,3.1538461538461537,0.9746606334841629,0.008070818603812032,0.0,137.1445295077104,74.14703189409695,2.0
"AutoGluon 1.6 (noncommercial, 4h)",baseline,gpu,2026-08,https://arxiv.org/abs/2003.06505,2.0,1824.2,111.3,71.7,6.931372549019608,0.9302191464821222,0.06289239201857147,0.0,160.06974758353888,7.174068436903112,7.5,2.0,1771.4,109.1,68.2,8.210526315789474,0.9151702786377709,0.08016527063226238,0.0,167.6021994540566,7.3916066069352,3.5,1.0,1783.4,126.7,80.4,7.916666666666667,0.9186274509803921,0.0708892431905614,0.0,176.54802609284718,8.689606269200643,2.5,2.0,1770.1,311.5,84.8,9.3125,0.9022058823529412,0.11495037353864102,0.0,134.05534955859184,2.524107873439789,1.0,2.0,2301.9,233.2,130.4,3.1923076923076925,0.9742081447963801,0.012402439147782674,0.0,138.05181134664096,6.5381876321939325,4.0
TABFM (default),config,gpu,2026-06-30,https://github.com/google-research/tabfm,3.0,1790.2,127.0,111.4,7.96078431372549,0.9181084198385236,0.055738542217240054,0.0,612.7116171285218,138.3528288859947,10.0,3.0,1751.3,149.9,129.3,8.921052631578947,0.9068111455108359,0.06730059103642273,0.0,704.6515281890568,162.06852926706014,7.0,2.0,1772.0,168.2,121.3,8.3,0.9141176470588235,0.06429190997397205,0.0,804.9712086598079,186.63243851661682,5.0,6.0,1721.2,789.9,270.6,11.25,0.8794117647058823,0.07858314502061284,0.0,328.4527264237404,69.95386958122253,2.0,4.0,2159.5,266.3,77.7,5.153846153846154,0.951131221719457,0.02194178413039836,0.0,343.96418479772717,69.03001238749577,3.0
"AutoGluon 1.6 (extreme, 4h)",baseline,gpu,2026-08,https://arxiv.org/abs/2003.06505,4.0,1751.4,102.8,64.3,9.294117647058824,0.9024221453287197,0.07111712013889546,0.0,139.3104708849215,6.108352712556427,3.5,5.0,1703.2,81.7,52.6,10.828947368421053,0.8843653250773994,0.08921982345492224,0.0,145.6055307764756,6.300570105251513,1.5,5.0,1710.2,105.8,71.5,10.666666666666666,0.8862745098039215,0.07796812153909999,0.0,152.0552578608195,7.180216900507609,1.5,7.0,1716.8,276.7,87.9,11.4375,0.8772058823529412,0.1314137056392557,0.0,121.419054210186,3.001894623041153,0.0,3.0,2180.8,191.5,74.7,4.8076923076923075,0.9552036199095023,0.018201525830509484,0.0,120.90952658653259,5.546486487755408,2.0
TA-EXAONE-TABULAR (default),config,gpu,2026-07-31,https://github.com/LGAI-Research/EXAONE-Tabular,5.0,1739.0,96.4,63.6,9.754901960784315,0.8970011534025375,0.07769955575734834,0.0,74.97070063796698,11.027849384382659,5.0,4.0,1738.2,107.3,73.5,9.407894736842104,0.9010835913312694,0.09324191385865266,0.0,63.186456868523045,10.399483072130304,5.0,4.0,1743.0,141.6,83.0,9.35,0.9017647058823529,0.08941446701695652,0.0,73.00510378678639,12.467128888765972,5.0,3.0,1761.7,341.3,104.1,9.625,0.8985294117647059,0.10759483951501324,0.0,26.366530925035477,2.6458112597465515,0.0,5.0,1919.8,175.9,115.8,10.76923076923077,0.8850678733031674,0.03226804746122799,0.0,109.41695165634155,12.864612450966469,0.0
"AutoGluon 1.5 (extreme, 4h)",baseline,gpu,2025-12,https://arxiv.org/abs/2003.06505,6.0,1641.1,96.3,82.6,14.098039215686274,0.8459054209919262,0.08383605093629841,0.0,3757.809341313792,27.448745423672246,2.0,6.0,1616.5,110.4,104.0,15.078947368421053,0.8343653250773994,0.09836664528183785,0.0,3556.7738271198773,27.92857821364152,2.0,7.0,1598.0,136.3,104.4,16.333333333333332,0.8196078431372549,0.09152284959670408,0.0,3823.641578578949,33.14877359072367,2.0,5.0,1742.4,208.6,67.3,10.375,0.8897058823529411,0.12403087910108943,0.0,2556.0197591483593,8.352845549583435,0.0,7.0,1905.3,122.9,47.8,11.23076923076923,0.8796380090497737,0.041362005926260055,0.0,4345.451613572927,26.04615726837745,0.0
TA-TABPFN-3 (default),config,gpu,2026-05,https://arxiv.org/abs/2605.13986,7.0,1634.5,85.8,59.9,14.441176470588236,0.8418685121107267,0.09567348664051256,0.0,26.429065942764282,2.422183957754397,0.0,7.0,1608.3,89.9,72.1,15.539473684210526,0.8289473684210527,0.11783246646978328,0.0,26.914751310097543,2.706115540705229,0.0,6.0,1623.4,105.0,68.4,14.883333333333333,0.8366666666666667,0.11692020852879864,0.0,29.06529192129771,3.065688474973043,0.0,10.0,1589.2,313.3,159.0,18.0,0.8,0.12125343374847568,0.0,18.850224018096924,1.3577170372009277,0.0,6.0,1905.3,250.2,149.6,11.23076923076923,0.8796380090497737,0.03090108406264428,0.0,25.009370253636288,1.5922300998981183,0.0
TABPFN-V2.6 (default),config,gpu,2026-03,https://arxiv.org/abs/2511.08667,8.0,1600.1,77.3,57.0,16.313725490196077,0.8198385236447521,0.10971495950990705,0.0,108.05620168237125,9.114482117634193,0.0,8.0,1578.2,72.9,64.7,17.31578947368421,0.8080495356037152,0.13296590392180754,0.0,128.97028511448912,10.67007973947023,0.0,8.0,1572.3,98.7,67.8,17.9,0.8011764705882353,0.13130473901501363,0.0,154.60465514659882,12.834590911865234,0.0,9.0,1640.1,196.4,104.9,15.125,0.8338235294117647,0.13919527232228462,0.0,32.84139749407768,2.553162842988968,0.0,10.0,1843.5,149.3,57.3,13.384615384615385,0.8542986425339366,0.04175066045973638,0.0,46.92272703464214,4.567350607651931,0.0
REALTABPFN-V2.5 (tuned + ensemble),hpo,gpu,2025-11,https://arxiv.org/abs/2511.08667,9.0,1591.0,83.5,61.0,16.833333333333332,0.8137254901960784,0.09908995867519692,0.0,18809.621657745512,197.2438130799462,1.0,9.0,1564.5,90.0,71.5,18.17105263157895,0.7979876160990712,0.12087280226092278,0.0,20666.84492694704,239.2748752518704,1.0,10.0,1536.5,105.7,63.8,20.25,0.7735294117647059,0.13640283152328767,0.0,23949.946201443672,287.6204816818237,0.0,4.0,1742.4,318.4,140.0,10.375,0.8897058823529411,0.06263519252705434,0.0,8355.215147584677,57.97885113954544,1.0,9.0,1856.0,199.8,132.2,12.923076923076923,0.8597285067873304,0.0354170312707675,0.0,13380.815178541037,74.38378519278307,0.0
TABICLV2 (default),config,gpu,2026-02-12,https://arxiv.org/abs/2602.11139,10.0,1552.1,76.6,70.8,19.215686274509803,0.7856978085351788,0.11420265421658207,0.0,16.794721318226234,1.663248015385048,0.0,10.0,1549.2,89.9,83.7,19.157894736842106,0.7863777089783281,0.1358085013220268,0.0,18.331106587460166,1.8842644377758628,0.0,9.0,1566.0,99.6,83.8,18.3,0.7964705882352942,0.1291489188084129,0.0,19.54420659542084,2.0771809101104735,0.0,12.0,1521.4,361.8,183.4,22.375,0.7485294117647059,0.16078193574807886,0.0,13.78198155760765,1.1608276665210724,0.0,15.0,1704.0,259.4,150.8,19.384615384615383,0.783710407239819,0.05104710113912826,0.0,12.303748992773203,1.0172000114734356,0.0
