method,method_type,compute,date_introduced,reference_url,all__pos,all__elo,all__elo+,all__elo-,all__rank,all__winrate,all__improvability,all__imputed,all__time_train_s,all__time_infer_s,all__rank=1_count,classification__pos,classification__elo,classification__elo+,classification__elo-,classification__rank,classification__winrate,classification__improvability,classification__imputed,classification__time_train_s,classification__time_infer_s,classification__rank=1_count,binary__pos,binary__elo,binary__elo+,binary__elo-,binary__rank,binary__winrate,binary__improvability,binary__imputed,binary__time_train_s,binary__time_infer_s,binary__rank=1_count,multiclass__pos,multiclass__elo,multiclass__elo+,multiclass__elo-,multiclass__rank,multiclass__winrate,multiclass__improvability,multiclass__imputed,multiclass__time_train_s,multiclass__time_infer_s,multiclass__rank=1_count,regression__pos,regression__elo,regression__elo+,regression__elo-,regression__rank,regression__winrate,regression__improvability,regression__imputed,regression__time_train_s,regression__time_infer_s,regression__rank=1_count
TabFM+,baseline,gpu,2026-06-30,https://github.com/google-research/tabfm,1,1824.4,123.4,115.6,6.882352941176471,0.9316005471956225,0.054230256501314175,0.0,164.31137041952096,147.13470867100884,13.0,1,1773.7,140.6,106.0,8.131578947368421,0.9170746634026927,0.06911401431331132,0.0,173.60528967882456,172.10417704205764,11.0,3,1761.4,173.0,120.7,8.666666666666666,0.9108527131782945,0.06666866223407988,0.0,185.4654649734497,198.01107647418976,8.0,1,1875.0,556.8,152.6,6.125,0.940406976744186,0.07828408461042925,0.0,129.12963232398033,74.9533041715622,3.0,1,2284.5,293.0,133.8,3.230769230769231,0.9740608228980322,0.01072388751239944,0.0,137.1445295077104,74.14703189409695,2.0
"AutoGluon 1.6 (noncommercial, 4h)",baseline,gpu,2026-08,https://arxiv.org/abs/2003.06505,2,1820.0,110.9,68.9,7.009803921568627,0.9301185590515276,0.0655511276424907,0.0,160.06974758353888,7.174068436903112,7.5,2,1769.1,107.6,67.2,8.289473684210526,0.9152386780905752,0.08283653696514792,0.0,167.6021994540566,7.3916066069352,3.5,1,1780.2,126.5,79.4,8.016666666666667,0.9184108527131783,0.07427284721221643,0.0,176.54802609284718,8.689606269200643,2.5,2,1772.3,311.9,85.4,9.3125,0.903343023255814,0.11495037353864102,0.0,134.05534955859184,2.524107873439789,1.0,2,2281.1,251.0,143.1,3.269230769230769,0.973613595706619,0.015024546545492687,0.0,138.05181134664096,6.5381876321939325,4.0
TABFM (default),config,gpu,2026-06-30,https://github.com/google-research/tabfm,3,1785.8,125.9,112.0,8.058823529411764,0.9179206566347469,0.058384785268759065,0.0,612.7116171285218,138.3528288859947,9.0,3,1748.5,151.6,129.5,9.026315789473685,0.9066707466340269,0.06994273857394119,0.0,704.6515281890568,162.06852926706014,7.0,2,1768.9,171.2,122.6,8.4,0.913953488372093,0.0676386301881621,0.0,804.9712086598079,186.63243851661682,5.0,6,1720.5,794.3,271.9,11.375,0.8793604651162791,0.07858314502061284,0.0,328.4527264237404,69.95386958122253,2.0,4,2142.8,229.5,80.4,5.230769230769231,0.9508050089445438,0.024599998684380522,0.0,343.96418479772717,69.03001238749577,2.0
"AutoGluon 1.6 (extreme, 4h)",baseline,gpu,2026-08,https://arxiv.org/abs/2003.06505,4,1748.0,103.6,63.5,9.372549019607844,0.9026447788417693,0.07380669143347322,0.0,139.3104708849215,6.108352712556427,2.5,5,1701.6,81.9,52.9,10.907894736842104,0.8847919216646267,0.09193199257029012,0.0,145.6055307764756,6.300570105251513,0.5,5,1708.0,105.9,71.8,10.766666666666667,0.8864341085271318,0.08140353575189932,0.0,152.0552578608195,7.180216900507609,0.5,7,1719.1,276.8,88.5,11.4375,0.8786337209302325,0.1314137056392557,0.0,121.419054210186,3.001894623041153,0.0,3,2163.6,183.9,83.9,4.884615384615385,0.9548300536672629,0.020825041956623824,0.0,120.90952658653259,5.546486487755408,2.0
TA-EXAONE-TABULAR (default),config,gpu,2026-07-31,https://github.com/LGAI-Research/EXAONE-Tabular,5,1735.3,94.9,65.0,9.852941176470589,0.8970588235294118,0.08020549732274641,0.0,74.97070063796698,11.027849384382659,5.0,4,1735.7,110.7,74.1,9.513157894736842,0.9010097919216646,0.09572654464251815,0.0,63.186456868523045,10.399483072130304,5.0,4,1739.5,140.8,83.7,9.483333333333333,0.9013565891472868,0.09256166600985279,0.0,73.00510378678639,12.467128888765972,5.0,3,1763.9,342.4,104.3,9.625,0.8997093023255814,0.10759483951501324,0.0,26.366530925035477,2.6458112597465515,0.0,5,1908.1,184.4,124.9,10.846153846153847,0.8855098389982111,0.034836282080336685,0.0,109.41695165634155,12.864612450966469,0.0
"AutoGluon 1.5 (extreme, 4h)",baseline,gpu,2025-12,https://arxiv.org/abs/2003.06505,6,1638.5,95.1,83.2,14.196078431372548,0.8465572275421797,0.08635853385383449,0.0,3757.809341313792,27.448745423672246,2.0,6,1615.3,110.0,103.7,15.18421052631579,0.8350673194614443,0.10086137071948392,0.0,3556.7738271198773,27.92857821364152,2.0,7,1596.3,137.0,102.6,16.466666666666665,0.8201550387596899,0.0946828351510558,0.0,3823.641578578949,33.14877359072367,2.0,5,1744.6,209.4,67.2,10.375,0.8909883720930233,0.12403087910108943,0.0,2556.0197591483593,8.352845549583435,0.0,6,1893.8,131.1,56.0,11.307692307692308,0.8801431127012522,0.043965626092705344,0.0,4345.451613572927,26.04615726837745,0.0
TA-TABPFN-3 (default),config,gpu,2026-05,https://arxiv.org/abs/2605.13986,7,1631.9,85.5,61.3,14.53921568627451,0.8425672594619243,0.0982059406500062,0.0,26.429065942764282,2.422183957754397,0.0,7,1607.2,90.6,72.1,15.644736842105264,0.8297123623011016,0.12033532688168257,0.0,26.914751310097543,2.706115540705229,0.0,6,1621.5,106.5,66.8,15.016666666666667,0.837015503875969,0.12009049838387106,0.0,29.06529192129771,3.065688474973043,0.0,10,1591.6,312.8,159.0,18.0,0.8023255813953488,0.12125343374847568,0.0,18.850224018096924,1.3577170372009277,0.0,7,1893.8,241.0,148.5,11.307692307692308,0.8801431127012522,0.03352004243433679,0.0,25.009370253636288,1.5922300998981183,0.0
TABPFN-V2.6 (default),config,gpu,2026-03,https://arxiv.org/abs/2511.08667,8,1597.8,77.1,58.0,16.41176470588235,0.8207934336525308,0.11204638376147287,0.0,108.05620168237125,9.114482117634193,0.0,8,1577.3,72.2,64.2,17.42105263157895,0.8090575275397797,0.1351938977088877,0.0,128.97028511448912,10.67007973947023,0.0,8,1570.9,99.8,67.6,18.033333333333335,0.8019379844961241,0.1341268644786485,0.0,154.60465514659882,12.834590911865234,0.0,9,1642.4,196.3,104.7,15.125,0.8357558139534884,0.13919527232228462,0.0,32.84139749407768,2.553162842988968,0.0,10,1832.9,144.5,54.3,13.461538461538462,0.855098389982111,0.04438441991518338,0.0,46.92272703464214,4.567350607651931,0.0
REALTABPFN-V2.5 (tuned + ensemble),hpo,gpu,2025-11,https://arxiv.org/abs/2511.08667,9,1588.9,84.7,62.3,16.931372549019606,0.8147514819881441,0.10152975850065611,0.0,18809.621657745512,197.2438130799462,1.0,9,1563.8,89.2,72.8,18.276315789473685,0.7991126070991432,0.12324787351306031,0.0,20666.84492694704,239.2748752518704,1.0,10,1535.6,105.5,63.7,20.383333333333333,0.7746124031007752,0.13941125510932856,0.0,23949.946201443672,287.6204816818237,0.0,4,1744.6,319.5,140.0,10.375,0.8909883720930233,0.06263519252705434,0.0,8355.215147584677,57.97885113954544,1.0,9,1845.3,183.0,123.2,13.0,0.8604651162790697,0.03804603769516694,0.0,13380.815178541037,74.38378519278307,0.0
TABICLV2 (default),config,gpu,2026-02-12,https://arxiv.org/abs/2602.11139,10,1549.7,77.3,70.5,19.352941176470587,0.786593707250342,0.11678621039529348,0.0,16.794721318226234,1.663248015385048,0.0,10,1547.8,87.5,84.1,19.31578947368421,0.7870257037943696,0.13838415185776207,0.0,18.331106587460166,1.8842644377758628,0.0,9,1564.2,100.1,82.3,18.466666666666665,0.7968992248062016,0.1324114094870109,0.0,19.54420659542084,2.0771809101104735,0.0,12,1522.1,363.7,185.5,22.5,0.75,0.16078193574807886,0.0,13.78198155760765,1.1608276665210724,0.0,15,1695.2,249.9,152.1,19.46153846153846,0.7853309481216458,0.05365376612038533,0.0,12.303748992773203,1.0172000114734356,0.0
