dataset,fold,method,metric_error,time_train_s,time_infer_s,metric,problem_type,metric_error_val,method_type,ta_name,ta_suite,method_subtype,config_type,imputed,impute_method
APSFailure,0,"AutoGluon 1.4 (best, 4h)",0.00459368739120436,14490.58813905716,28.909496068954468,roc_auc,binary,0.006417677909196673,baseline,AutoGluon_v140_bq_4h8c,tabarena-2025-11-01,,,False,
APSFailure,0,"AutoGluon 1.5 (extreme, 4h)",0.003890563930764923,13805.021308898926,78.19677472114563,roc_auc,binary,0.008504202233876823,baseline,AutoGluon_v150_eq_4h8c,tabarena-2025-12-18,,,False,
APSFailure,0,"AutoGluon 1.6 (extreme, 4h)",0.0031106293997219536,309.01444387435913,20.64452815055847,roc_auc,binary,0.007805205064624454,baseline,AutoGluon_16_extreme,tabarena-2026-08-05,,,False,
APSFailure,0,"AutoGluon 1.6 (noncommercial, 4h)",0.003086368662484573,404.89517283439636,36.41008520126343,roc_auc,binary,0.007741173114480637,baseline,AutoGluon_16_noncommercial,tabarena-2026-08-05,,,False,
APSFailure,0,TabFM+,0.004653945106797508,591.96648478508,947.9413361549377,roc_auc,binary,,baseline,TabFM+,tabarena-2026-07-07,,,False,
APSFailure,0,CAT (default),0.005607164362115613,51.54413414001465,0.0825810432434082,roc_auc,binary,0.010575058699611506,config,CatBoost,tabarena-2026-07-13,default,CAT,False,
APSFailure,0,CAT (tuned),0.006114231287154714,32367.139005184174,0.10024261474609375,roc_auc,binary,0.009331669263347275,hpo,CatBoost,tabarena-2026-07-13,tuned,CAT,False,
APSFailure,0,CAT (tuned + ensemble),0.006270480945030132,32367.139005184174,1.8318567276000977,roc_auc,binary,0.007871222926861376,hpo,CatBoost,tabarena-2026-07-13,tuned_ensemble,CAT,False,
APSFailure,0,CHIMERA (default),0.004879123285271625,34.690362215042114,1.1935827732086182,roc_auc,binary,0.011092756358210276,config,ChimeraBoost,tabarena-2026-08-10,default,CHIMERA,False,
APSFailure,0,CHIMERA (tuned),0.005400904303653364,8261.94100022316,1.157639741897583,roc_auc,binary,0.008976059335981224,hpo,ChimeraBoost,tabarena-2026-08-10,tuned,CHIMERA,False,
APSFailure,0,CHIMERA (tuned + ensemble),0.00468381121292738,8261.94100022316,7.4953954219818115,roc_auc,binary,0.007803581224901768,hpo,ChimeraBoost,tabarena-2026-08-10,tuned_ensemble,CHIMERA,False,
APSFailure,0,EBM (default),0.005985395386518655,108.14241600036621,2.257721424102783,roc_auc,binary,0.012048320203638219,config,ExplainableBM,tabarena-2026-07-13,default,EBM,False,
APSFailure,0,EBM (tuned),0.0060306762571025185,33553.31317615509,4.590808868408203,roc_auc,binary,0.010432062057009972,hpo,ExplainableBM,tabarena-2026-07-13,tuned,EBM,False,
APSFailure,0,EBM (tuned + ensemble),0.005632519897964761,33553.31317615509,17.283994436264038,roc_auc,binary,0.009229411248381614,hpo,ExplainableBM,tabarena-2026-07-13,tuned_ensemble,EBM,False,
APSFailure,0,XT (default),0.007667575349514566,15.392569780349731,0.9210636615753174,roc_auc,binary,0.01480508437383421,config,ExtraTrees,tabarena-2026-07-13,default,XT,False,
APSFailure,0,XT (tuned),0.009402086686154054,2983.9192564487457,0.3574554920196533,roc_auc,binary,0.011478582870685261,hpo,ExtraTrees,tabarena-2026-07-13,tuned,XT,False,
APSFailure,0,XT (tuned + ensemble),0.0065846005627264725,2983.9192564487457,2.839134693145752,roc_auc,binary,0.0077221368852998795,hpo,ExtraTrees,tabarena-2026-07-13,tuned_ensemble,XT,False,
APSFailure,0,KNN (default),0.034194151585815735,6.655020713806152,2.4838995933532715,roc_auc,binary,0.04524227030348238,config,KNeighbors,tabarena-2025-10-20,default,KNN,False,
APSFailure,0,KNN (tuned),0.013733635497750196,103065.38668823242,63.06721210479736,roc_auc,binary,0.01616955958833466,hpo,KNeighbors,tabarena-2025-10-20,tuned,KNN,False,
APSFailure,0,KNN (tuned + ensemble),0.007850362925739818,103065.38668823242,1325.9658017158508,roc_auc,binary,0.01069648460643835,hpo,KNeighbors,tabarena-2025-10-20,tuned_ensemble,KNN,False,
APSFailure,0,GBM (default),0.005362717728073951,21.91285490989685,0.7928750514984131,roc_auc,binary,0.011860196177393534,config,LightGBM,tabarena-2025-06-12,default,GBM,False,
APSFailure,0,GBM (tuned),0.0051286935768165565,17878.774407863617,2.0038809776306152,roc_auc,binary,0.009876127361699294,hpo,LightGBM,tabarena-2025-06-12,tuned,GBM,False,
APSFailure,0,GBM (tuned + ensemble),0.005173930655455905,17878.774407863617,7.161232948303223,roc_auc,binary,0.009146167518816806,hpo,LightGBM,tabarena-2025-06-12,tuned_ensemble,GBM,False,
APSFailure,0,LR (default),0.00941071369921509,13.418611764907837,5.393549680709839,roc_auc,binary,0.013453797371135057,config,LinearModel,tabarena-2025-10-20,default,LR,False,
APSFailure,0,LR (tuned),0.009296942227477234,2706.5600802898407,5.562503099441528,roc_auc,binary,0.012648658137850877,hpo,LinearModel,tabarena-2025-10-20,tuned,LR,False,
APSFailure,0,LR (tuned + ensemble),0.00866651339486102,2706.5600802898407,18.167437314987183,roc_auc,binary,0.010855039389085164,hpo,LinearModel,tabarena-2025-10-20,tuned_ensemble,LR,False,
APSFailure,0,FASTAI (default),0.008060345299482186,61.79023599624634,2.701612710952759,roc_auc,binary,0.019537534835750825,config,NeuralNetFastAI,tabarena-2025-06-12,default,FASTAI,False,
APSFailure,0,FASTAI (tuned),0.007994482214996546,17701.72635602951,1.958921194076538,roc_auc,binary,0.0118415768800334,hpo,NeuralNetFastAI,tabarena-2025-06-12,tuned,FASTAI,False,
APSFailure,0,FASTAI (tuned + ensemble),0.006303149735606084,17701.72635602951,45.62685561180115,roc_auc,binary,0.00756460248842461,hpo,NeuralNetFastAI,tabarena-2025-06-12,tuned_ensemble,FASTAI,False,
APSFailure,0,NN_TORCH (default),0.008322834214646191,56.22827076911926,5.6046223640441895,roc_auc,binary,0.011850255645037389,config,NeuralNetTorch,tabarena-2025-06-12,default,NN_TORCH,False,
