method,elo,elo+,elo-,rank,winrate,improvability,improvability+,improvability-,mrr,rank=1_count,rank=2_count,rank=3_count,rank>3_count,time_train_s,time_infer_s,time_train_s_per_1K,time_infer_s_per_1K,normalized-error,normalized-error-task,imputed,median_rank,median_improvability,median_loss_rescaled,median_metric_error,median_time_train_s,median_time_infer_s,median_time_train_s_per_1K,median_time_infer_s_per_1K,median_normalized-error,median_normalized-error-task,median_imputed,method_type,method_subtype,config_type,ta_name,ta_suite
TabFM+,1824.1,123.2,115.7,6.882352941176471,0.9316005471956225,0.05423025650131386,0.03611654341454757,0.022110446802501987,0.447516529994973,13.0,11.0,5.0,22.0,164.31137041952096,147.13470867100884,43.26538287347224,13.619666282992126,0.2056543132174629,0.2056543132174629,0.0,3.0,0.007662079243926034,0.0077085209273869745,0.19299145299145293,95.23527240753174,25.915400743484497,19.965008370162266,7.697430915901501,0.08265133595241343,0.08265133595241343,0.0,baseline,,,TabFM+,tabarena-2026-07-07
"AutoGluon 1.6 (noncommercial, 4h)",1819.0,110.5,70.6,7.029411764705882,0.929890560875513,0.06555112764249024,0.03480067125876336,0.02403883442797962,0.31837636471503744,7.5,5.5,3.0,35.0,160.06974758353888,7.174068436903112,20.074099923973648,1.3628941085706892,0.2600396999983207,0.2600396999983207,0.0,4.5,0.024776952938771357,0.016149975205142674,0.1987760114198903,45.43097519874573,1.9480476379394531,15.642206467388776,0.7395232389421027,0.19856463074852593,0.19856463074852593,0.0,baseline,,,AutoGluon_16_noncommercial,tabarena-2026-08-05
TABFM (default),1785.5,126.1,112.1,8.058823529411764,0.9179206566347469,0.0583847852687587,0.03286134892686909,0.022531625005263095,0.3824031689143251,9.0,12.0,3.0,27.0,612.7116171285218,138.3528288859947,50.35760449880157,12.390211441798375,0.24242863367021245,0.24242863367021245,0.0,4.0,0.014842650953227454,0.014246189382306092,0.1973717948717948,146.18406867980957,22.544095039367676,40.79265625990497,6.9905568693959435,0.1757608459671717,0.1757608459671717,0.0,config,default,TABFM,TabFM,tabarena-2026-07-13
"AutoGluon 1.6 (extreme, 4h)",1747.2,103.4,63.0,9.392156862745098,0.9024167806657547,0.07380669143347278,0.03662830037099819,0.025113536183633635,0.20648060340642974,2.5,4.5,3.0,41.0,139.3104708849215,6.108352712556427,15.716280207546857,1.2259265414630525,0.31223225304138974,0.31223225304138974,0.0,7.0,0.03543033638984927,0.02029018267202046,0.20161272747085102,37.27479672431946,1.5669355392456055,12.353877782821655,0.6471776204504919,0.2953993554568521,0.2953993554568521,0.0,baseline,,,AutoGluon_16_extreme,tabarena-2026-08-05
TA-EXAONE-TABULAR (default),1735.0,94.9,65.2,9.852941176470589,0.8970588235294118,0.08020549732274627,0.04440478587368976,0.026933956095564836,0.24483882211254424,5.0,1.0,8.0,37.0,74.97070063796698,11.027849384382659,9.758216749078304,1.604249014261804,0.2954994982017368,0.2954994982017368,0.0,7.0,0.024681012964647975,0.02401286403430432,0.198931623931624,18.829861164093018,1.517972707748413,6.17219816468856,0.6229814973849696,0.2307524298286741,0.2307524298286741,0.0,config,default,TA-EXAONE-TABULAR,EXAONE-Tabular,tabarena-2026-08-06
"AutoGluon 1.5 (extreme, 4h)",1638.2,95.2,83.2,14.196078431372548,0.8465572275421797,0.08635853385383396,0.03769127391969436,0.027603552467716737,0.15595170201801445,2.0,1.0,3.0,45.0,3757.809341313792,27.448745423672246,407.70511586507274,6.065983769697468,0.419059646169178,0.419059646169178,0.0,11.0,0.04833760611400606,0.035671140937567486,0.2040318186771275,2405.3948366642,12.49562931060791,293.64903006487026,4.357901796836971,0.3478069934676355,0.3478069934676355,0.0,baseline,,,AutoGluon_v150_eq_4h8c,tabarena-2025-12-18
TA-TABPFN-3 (default),1631.6,85.2,61.5,14.53921568627451,0.8425672594619243,0.09820594065000585,0.050582352629335,0.028904227078737882,0.12817077260593635,0.0,1.0,5.0,45.0,26.429065942764282,2.422183957754397,7.844421994799172,0.45653571100077806,0.435976188683084,0.435976188683084,0.0,11.0,0.05252985435217805,0.05340492521337836,0.19955585805915732,17.227367639541626,0.584958553314209,3.587723779678345,0.3949105739593506,0.3845074707745841,0.3845074707745841,0.0,config,default,TA-TABPFN-3,TabPFN-3,tabarena-2026-07-13
TABPFN-V2.6 (default),1597.5,77.0,58.0,16.41176470588235,0.8207934336525308,0.11204638376147265,0.049076294371687215,0.03544481243547108,0.09134845721933882,0.0,1.0,0.0,50.0,108.05620168237125,9.114482117634193,9.031708365364647,0.941405240483239,0.4778021700570217,0.4778021700570217,0.0,15.0,0.04786348501664839,0.05452923333579345,0.20460934946060805,15.053860425949097,1.0080111026763916,5.7520413761816656,0.6004352740642735,0.46120638921856094,0.46120638921856094,0.0,config,default,TABPFN-V2.6,TabPFN-v2.6,tabarena-2026-03-18
REALTABPFN-V2.5 (tuned + ensemble),1588.5,84.9,62.2,16.931372549019606,0.8147514819881441,0.10152975850065593,0.04545292749431276,0.03757486549636385,0.11138528693548569,1.0,0.0,0.0,50.0,18809.621657745512,197.2438130799462,2784.3808301143945,23.46753077576068,0.4884120727019205,0.4884120727019205,0.0,15.0,0.052677582774984355,0.04305673764927563,0.20309345139166002,7003.692138433456,18.11799669265747,2059.944379267618,9.78536531329155,0.4705190114305083,0.4705190114305083,0.0,hpo,tuned_ensemble,REALTABPFN-V2.5,RealTabPFN-v2.5,tabarena-2025-11-12
TABICLV2 (default),1549.6,76.8,70.1,19.333333333333332,0.7868217054263565,0.11678621039529317,0.049754277367328806,0.03359289512996011,0.0937527042798738,0.0,1.0,1.0,49.0,16.794721318226234,1.663248015385048,3.950924431595039,0.3769233548908771,0.5126236499681421,0.5126236499681421,0.0,13.0,0.06837336576183517,0.05520223700312572,0.2035559817136176,7.507569313049316,0.3558478355407715,1.9632436902389914,0.14638646135052433,0.43414634146341546,0.43414634146341546,0.0,config,default,TABICLV2,TabICLv2,tabarena-2026-07-13
