model,dataset_size,dataset,fold,test_score,Created
TabDPT 6️⃣,10000,REG_FOOD_ALCOHOL_WIKILIQ_PRICES,7,0.95548802776478,2025-10-10T09:18:01.000Z
TabDPT 6️⃣,10000,REG_SPORTS_NBA_DRAFT_VALUE_OVER_REPLACEMENT,9,0.9919863968897598,2025-10-10T09:16:29.000Z
TabDPT 6️⃣,10000,REG_SPORTS_NBA_DRAFT_VALUE_OVER_REPLACEMENT,8,0.9906858487094276,2025-10-10T09:15:47.000Z
TabDPT 6️⃣,10000,REG_SPORTS_NBA_DRAFT_VALUE_OVER_REPLACEMENT,7,0.9888562895414826,2025-10-10T09:15:06.000Z
TabDPT 6️⃣,10000,REG_SPORTS_NBA_DRAFT_VALUE_OVER_REPLACEMENT,6,0.9877964884988432,2025-10-10T09:14:24.000Z
TabDPT 6️⃣,10000,REG_SPORTS_NBA_DRAFT_VALUE_OVER_REPLACEMENT,5,0.9857227095869115,2025-10-10T09:13:42.000Z
TabDPT 6️⃣,10000,REG_SPORTS_NBA_DRAFT_VALUE_OVER_REPLACEMENT,4,0.9924075310422048,2025-10-10T09:13:00.000Z
TabDPT 6️⃣,10000,REG_SPORTS_NBA_DRAFT_VALUE_OVER_REPLACEMENT,3,0.9882180541931656,2025-10-10T09:12:18.000Z
TabDPT 6️⃣,10000,REG_SPORTS_NBA_DRAFT_VALUE_OVER_REPLACEMENT,2,0.9823641906004356,2025-10-10T09:11:37.000Z
TabDPT 6️⃣,10000,REG_SPORTS_NBA_DRAFT_VALUE_OVER_REPLACEMENT,1,0.9950460069174129,2025-10-10T09:10:55.000Z
TabDPT 6️⃣,10000,REG_SPORTS_NBA_DRAFT_VALUE_OVER_REPLACEMENT,0,0.9957301351578643,2025-10-10T09:10:02.000Z
TabDPT 6️⃣,10000,MUL_FOOD_WINE_REVIEW,0,0.92950842017605,2025-10-10T09:03:21.000Z
TabDPT 6️⃣,10000,MUL_FOOD_WINE_REVIEW,9,0.9419758417762292,2025-10-10T09:00:45.000Z
TabDPT 6️⃣,10000,MUL_FOOD_WINE_REVIEW,8,0.9374612647177932,2025-10-10T08:58:08.000Z
TabDPT 6️⃣,10000,MUL_FOOD_WINE_REVIEW,7,0.9364425874306012,2025-10-10T08:55:32.000Z
TabDPT 6️⃣,10000,MUL_FOOD_WINE_REVIEW,6,0.9382269655746944,2025-10-10T08:52:53.000Z
TabDPT 6️⃣,10000,MUL_FOOD_WINE_REVIEW,5,0.9352836914608372,2025-10-10T08:50:17.000Z
TabDPT 6️⃣,10000,MUL_FOOD_WINE_REVIEW,4,0.9442188028872333,2025-10-10T08:47:40.000Z
TabDPT 6️⃣,10000,MUL_FOOD_WINE_REVIEW,3,0.9404276400049778,2025-10-10T08:44:59.000Z
